CustomerID,CustomerName,DOB,Phone,Email,Address
1,Customer_1,1991-02-15,9876500001,customer1@mail.com,Address 1
2,Customer_2,1992-03-15,9876500002,customer2@mail.com,Address 2
3,Customer_3,1993-04-15,9876500003,customer3@mail.com,Address 3
4,Customer_4,1994-05-15,9876500004,customer4@mail.com,Address 4
5,Customer_5,1995-06-15,9876500005,customer5@mail.com,Address 5
6,Customer_6,1996-07-15,9876500006,customer6@mail.com,Address 6
7,Customer_7,1997-08-15,9876500007,customer7@mail.com,Address 7
8,Customer_8,1998-09-15,9876500008,customer8@mail.com,Address 8
9,Customer_9,1999-01-15,9876500009,customer9@mail.com,Address 9
10,Customer_10,1990-02-15,9876500010,customer10@mail.com,Address 10
11,Customer_11,1991-03-15,9876500011,customer11@mail.com,Address 11
12,Customer_12,1992-04-15,9876500012,customer12@mail.com,Address 12
13,Customer_13,1993-05-15,9876500013,customer13@mail.com,Address 13
14,Customer_14,1994-06-15,9876500014,customer14@mail.com,Address 14
15,Customer_15,1995-07-15,9876500015,customer15@mail.com,Address 15
16,Customer_16,1996-08-15,9876500016,customer16@mail.com,Address 16
17,Customer_17,1997-09-15,9876500017,customer17@mail.com,Address 17
18,Customer_18,1998-01-15,9876500018,customer18@mail.com,Address 18
19,Customer_19,1999-02-15,9876500019,customer19@mail.com,Address 19
20,Customer_20,1990-03-15,9876500020,customer20@mail.com,Address 20
21,Customer_21,1991-04-15,9876500021,customer21@mail.com,Address 21
22,Customer_22,1992-05-15,9876500022,customer22@mail.com,Address 22
23,Customer_23,1993-06-15,9876500023,customer23@mail.com,Address 23
24,Customer_24,1994-07-15,9876500024,customer24@mail.com,Address 24
25,Customer_25,1995-08-15,9876500025,customer25@mail.com,Address 25
26,Customer_26,1996-09-15,9876500026,customer26@mail.com,Address 26
27,Customer_27,1997-01-15,9876500027,customer27@mail.com,Address 27
28,Customer_28,1998-02-15,9876500028,customer28@mail.com,Address 28
29,Customer_29,1999-03-15,9876500029,customer29@mail.com,Address 29
30,Customer_30,1990-04-15,9876500030,customer30@mail.com,Address 30
31,Customer_31,1991-05-15,9876500031,customer31@mail.com,Address 31
32,Customer_32,1992-06-15,9876500032,customer32@mail.com,Address 32
33,Customer_33,1993-07-15,9876500033,customer33@mail.com,Address 33
34,Customer_34,1994-08-15,9876500034,customer34@mail.com,Address 34
35,Customer_35,1995-09-15,9876500035,customer35@mail.com,Address 35
36,Customer_36,1996-01-15,9876500036,customer36@mail.com,Address 36
37,Customer_37,1997-02-15,9876500037,customer37@mail.com,Address 37
38,Customer_38,1998-03-15,9876500038,customer38@mail.com,Address 38
39,Customer_39,1999-04-15,9876500039,customer39@mail.com,Address 39
40,Customer_40,1990-05-15,9876500040,customer40@mail.com,Address 40
41,Customer_41,1991-06-15,9876500041,customer41@mail.com,Address 41
42,Customer_42,1992-07-15,9876500042,customer42@mail.com,Address 42
43,Customer_43,1993-08-15,9876500043,customer43@mail.com,Address 43
44,Customer_44,1994-09-15,9876500044,customer44@mail.com,Address 44
45,Customer_45,1995-01-15,9876500045,customer45@mail.com,Address 45
46,Customer_46,1996-02-15,9876500046,customer46@mail.com,Address 46
47,Customer_47,1997-03-15,9876500047,customer47@mail.com,Address 47
48,Customer_48,1998-04-15,9876500048,customer48@mail.com,Address 48
49,Customer_49,1999-05-15,9876500049,customer49@mail.com,Address 49
50,Customer_50,1990-06-15,9876500050,customer50@mail.com,Address 50
51,Customer_51,1991-07-15,9876500051,customer51@mail.com,Address 51
52,Customer_52,1992-08-15,9876500052,customer52@mail.com,Address 52
53,Customer_53,1993-09-15,9876500053,customer53@mail.com,Address 53
54,Customer_54,1994-01-15,9876500054,customer54@mail.com,Address 54
55,Customer_55,1995-02-15,9876500055,customer55@mail.com,Address 55
56,Customer_56,1996-03-15,9876500056,customer56@mail.com,Address 56
57,Customer_57,1997-04-15,9876500057,customer57@mail.com,Address 57
58,Customer_58,1998-05-15,9876500058,customer58@mail.com,Address 58
59,Customer_59,1999-06-15,9876500059,customer59@mail.com,Address 59
60,Customer_60,1990-07-15,9876500060,customer60@mail.com,Address 60
